87608768,ASD3435,1,19000.0,1998,2,16
13123232,M3283473HS,3,25500.0,2013,5,2
845634634,DFGSDGVSD3,1,300000.0,2013,2,1
860870808,ASD3435,2,19000.0,2012,11,9
87953215,ASD3435,1,19000.0,2012,1,17
87608768,M3283473HS,2,25500.0,2013,7,30
13123232,FGRF3432FD,1,55000.0,2012,8,23
845634634,FGRF3432FD,1,55000.0,2011,3,26
860870808,A57G43Y892,3,15000.0,2011,6,12
13123232,FGRF3432FD,1,55000.0,2013,5,16
13123232,23KH23KJGH,2,14.56,2012,1,17
860870808,A57G43Y892,1,15000.0,2011,12,30
13123232,FGRF3432FD,2,55000.0,1999,12,10
87953215,ASD3435,4,19000.0,2013,6,4
87953215,A57G43Y892,1,15000.0,2012,7,23
860870808,23KH23KJGH,3,14.56,2012,5,15
